tract_geoid,walk_block_group_count,walk_tot_pop,walk_households,walk_housing_units,walk_workers,walk_land_acres,nat_walk_index,d2a_jobs_housing_mix,d2b_employment_mix,d3b_intersection_density,d4a_commute_mode_split,d2a_ranked,d2b_ranked,d3b_ranked,d4a_ranked
06073014601,3.0,4554.0,1892.0,2081.0,2417.0,359.40719709999996,16.916930937279776,0.7426805765874922,0.7639532180433238,144.33244078749328,285.22600951374204,16.189746300211418,15.909090909090908,16.84830866807611,17.853065539112052
06073014602,3.0,5471.0,1741.0,1796.0,1931.0,674.7572054999999,10.038579360520774,0.30488392042740037,0.5641303819739556,85.71540759475396,-33118.62399770247,4.975875933371626,10.71223434807582,12.295807007466973,9.975875933371626
06073014700,4.0,7873.0,2922.0,3058.0,3793.0,616.2488675,13.610997033994979,0.3955893653362786,0.6615882574476836,118.39567448112535,656.9961156741958,7.938740588637919,13.821697467488022,15.540041067761807,14.412731006160165
06073014803,3.0,5074.0,2312.0,2354.0,2339.0,463.7142846,15.416017877739332,0.556523138198906,0.7669767329818543,115.11196618681137,506.3866955017301,11.576989619377162,17.94333910034602,15.441608996539792,16.04628027681661
06073014804,3.0,4210.0,1780.0,2094.0,2176.0,315.24993290000003,14.626310861423221,0.5461085524452958,0.601935702721905,188.34456973532582,843.3818146067415,11.260112359550561,11.851685393258427,18.48932584269663,13.83370786516854
06073014805,3.0,4545.0,1869.0,2115.0,2238.0,320.54800399999993,13.267968610665239,0.5195055724701415,0.5382327995879734,119.29714739947819,699.1114499732477,10.619047619047619,10.097378277153558,15.064205457463885,14.381487426431246
06073014806,2.0,2690.0,1151.0,1306.0,1419.0,224.26227669999997,16.1326382855488,0.7857585173644113,0.7455759190284468,110.36328724638706,417.5443006081668,17.19635099913119,16.39530842745439,15.201563857515204,16.4005212858384
06073014901,3.0,4307.0,1745.0,1893.0,2135.0,426.20746979999996,13.194364851957975,0.5039833061404299,0.7078412048804755,92.17598913288293,816.3432664756448,10.684813753581661,15.667621776504298,12.965616045845271,13.441260744985673
06073014902,2.0,3163.0,1405.0,1421.0,1677.0,380.2023918,17.79976275207592,0.7635726058780641,0.840993061415553,133.91376134639344,254.37399999999997,17.75373665480427,20.0,16.01494661921708,18.507473309608542
06073015000,4.0,7048.0,2680.0,2809.0,3139.0,767.8281618,14.440671641791042,0.6318690535620184,0.6287135196844302,124.38412345447823,758.3321007462687,14.11902985074627,12.51455223880597,15.93134328358209,14.073880597014925
06073015100,4.0,4843.0,1817.0,1864.0,2436.0,526.3719257999999,9.908915795266923,0.3185244243894878,0.6637436102934551,95.44969673915554,-55358.62692350028,5.483214089157952,13.779856906989544,13.603742432581178,6.491469455145845
06073015200,4.0,3711.0,1414.0,1491.0,1806.0,1057.5057156999999,7.659948137670909,0.3467589421898302,0.6143594445333667,51.71863674763355,-80845.79098302688,6.674681753889675,12.481612446958982,9.928571428571429,3.473125884016973
06073015301,2.0,3152.0,942.0,997.0,1595.0,161.4783674,14.0,0.4705018832602702,0.5585046710567603,111.70979145385186,382.89,9.5,10.5,15.0,17.0
06073015302,2.0,4362.0,1399.0,1425.0,2004.0,838.7433908,11.18680009530617,0.4306537951761366,0.7167638805457306,59.62781465315764,-32716.064031451035,8.009292351679772,15.66047176554682,10.679056468906362,11.046461758398856
06073015403,2.0,2545.0,836.0,861.0,1175.0,758.7855373,6.977671451355661,0.4560695142007375,0.6539067488498717,40.25309913063324,-99999.0,9.258373205741627,13.564593301435407,8.52153110047847,1.0
06073015404,4.0,8112.0,2625.0,2625.0,3486.0,890.1194344,11.59663492063492,0.47371411990129125,0.6020211934810817,68.42370830866327,-19799.141904761906,9.749714285714285,12.191238095238095,11.260571428571428,12.558857142857143
06073015405,3.0,5434.0,1869.0,1935.0,2869.0,1161.2674535,9.507044765471731,0.27843521321164416,0.6993091159266525,64.91998727838994,-52447.72241840557,4.577314071696094,15.422685928303906,10.899411449973247,7.621722846441948
06073015406,1.0,2580.0,852.0,913.0,1271.0,1501.1804373999998,6.166666666666665,0.4069032334727517,0.7162865665874459,20.75593261391377,-99999.0,7.0,16.0,6.0,1.0
06073015501,3.0,5220.0,1837.0,1920.0,2526.0,8136.6350681,5.694157140264926,0.5300896858280348,0.5438585640676439,19.19944287069431,-99999.0,11.014153511159499,9.676646706586826,5.7370713119216115,1.0
06073015502,2.0,2828.0,960.0,1023.0,1437.0,6389.2464146,4.69375,0.3621673643511292,0.4524213726612685,8.07092228874985,-99999.0,6.564583333333333,10.46875,4.564583333333333,1.0
06073015601,3.0,5910.0,1924.0,1978.0,2755.0,401.0578789,14.408783783783784,0.4740132818416053,0.7406431307149169,107.80950731664873,558.4525415800415,9.482848232848232,16.867983367983367,14.837837837837839,15.213097713097714
06073015602,2.0,2312.0,696.0,732.0,1204.0,1059.4592883,7.724137931034483,0.5326259051433996,0.5761042020359923,80.40496346784423,-99999.0,10.772988505747126,10.663793103448276,11.454022988505747,1.0
06073015701,3.0,6405.0,2030.0,2120.0,2511.0,237.5473611,16.022824302134648,0.6256603217439946,0.642487811780981,173.0124425057321,399.8130541871921,13.995073891625616,13.277832512315271,17.966995073891624,16.465024630541873
06073015703,3.0,7066.0,2167.0,2279.0,2781.0,169.22668209999998,12.697354253191817,0.4528585171496113,0.5695696019186541,105.11163813049174,572.6460083064144,8.593447161975082,10.533917858790955,13.528380249192432,15.0
06073015704,2.0,3873.0,1238.0,1340.0,2025.0,232.9335099,16.17366720516963,0.6506928446862534,0.8174209697709448,111.5155192950396,422.77988691437804,15.0,19.021001615508887,15.021001615508885,16.489499192245557
06073015801,2.0,3584.0,1387.0,1426.0,1753.0,154.55684929999998,15.047224224945927,0.6823017094406697,0.6466321526023364,106.38196071322471,493.39015140591204,15.459264599855803,13.553713049747657,14.729632299927902,15.905551550108147
06073015802,3.0,5175.0,1400.0,1431.0,1926.0,232.94042869999998,14.67797619047619,0.6028058102771503,0.5566236619805591,113.11371639004889,324.6166785714286,13.007142857142858,10.217857142857143,14.907142857142857,17.514285714285716
06073015901,2.0,3733.0,963.0,996.0,1429.0,95.9914312,13.799584631360332,0.6286348460598105,0.7070050565229131,61.893880170438024,466.2891588785047,14.0,15.819314641744548,10.180685358255452,16.30841121495327
06073015902,4.0,5252.0,1718.0,1736.0,2453.0,273.52709789999994,13.369227784245247,0.44173860257965303,0.4246915713900823,122.18914788290353,352.7118917345751,8.39930151338766,6.4935972060535505,15.469150174621653,17.19208381839348
06073016000,2.0,2290.0,861.0,897.0,1285.0,460.824203,8.993612078977932,0.622052791885259,0.4632228916642775,64.6136592418047,-71806.48343786295,13.686411149825783,7.281068524970964,10.718931475029036,5.778164924506388
06073016100,3.0,6483.0,2184.0,2200.0,2871.0,706.5293235,12.008547008547007,0.4309393615097387,0.6663698036115608,72.30273978506875,786.7212499999999,8.778846153846153,13.657051282051283,11.291666666666666,13.51602564102564
06073016201,3.0,5207.0,2000.0,2091.0,2833.0,1180.3690247999998,10.183,0.5627502072388652,0.7435535214406845,56.91033055585288,-60022.367265,12.0765,16.7555,9.9785,6.1545
06073016202,2.0,3657.0,1427.0,1458.0,1786.0,1652.7654149999998,15.546834851670173,0.7963481719426394,0.6712779721144019,60.86185385063826,199.9743798177996,18.320252277505254,14.320252277505256,10.980378416257883,19.339873861247373
06073016301,2.0,5290.0,1747.0,1804.0,2406.0,264.11234079999997,14.520797557717994,0.5028445365245053,0.6478382192198581,99.36924349904756,276.00815684029766,10.406410990269032,13.406410990269032,14.0,17.655981682884946
06073016302,3.0,6083.0,1666.0,1723.0,2544.0,294.26471829999997,13.897158863545418,0.5770698078253961,0.737317817098624,56.77526364817249,423.82849939975995,12.62064825930372,16.7719087635054,10.320528211284513,16.67466986794718
06073016401,3.0,5561.0,1555.0,1617.0,2156.0,579.8117486,13.065487674169344,0.5527628300293602,0.6645644847794049,79.34150270841764,711.2594726688103,11.627652733118971,14.084887459807074,12.172990353697749,14.167202572347266
06073016402,5.0,8007.0,2492.0,2606.0,3267.0,1484.7737387,10.97271268057785,0.5585790864206089,0.6731958700565276,39.25749555082581,-33151.43087881219,11.996789727126806,14.403691813804173,8.012841091492778,11.705056179775282
06073016502,4.0,7738.0,2350.0,2425.0,3138.0,519.643887,12.024113475177305,0.4886096572981474,0.6952406981113877,77.94464296909597,-28035.5012,9.970212765957447,15.556595744680852,12.022127659574467,11.286808510638298
06073016503,2.0,3321.0,1130.0,1180.0,1447.0,167.0522021,14.810471976401182,0.2986827317910493,0.6569394153846634,218.33687528271977,472.4176548672566,5.247787610619469,13.871681415929203,18.871681415929203,16.0
06073016504,4.0,7563.0,2499.0,2537.0,3097.0,323.03210029999997,14.165599573162597,0.6131385272359076,0.5854802319909314,105.66608758093876,462.05283313325333,13.608643457382954,11.496198479391756,14.198479391756702,15.745898359343737
06073016605,4.0,7123.0,3179.0,3334.0,3509.0,1452.6549393999999,10.96712802768166,0.3669035904344041,0.43156986778759315,115.02783380388996,-26777.14354513998,6.446052217678515,8.798049701163889,14.277131173324944,11.002201950298836
06073016606,2.0,3948.0,1282.0,1282.0,1744.0,672.4030838,9.99739989599584,0.4832557130700363,0.6553904122896973,84.6778971798495,-59651.52293291732,9.597503900156006,14.009360374414976,12.39625585023401,5.792511700468019
06073016607,3.0,6972.0,2352.0,2479.0,3238.0,981.1688655999999,10.117559523809524,0.45119681512091453,0.36175134795555314,131.65649774861484,-49658.07128826531,8.886479591836734,5.2729591836734695,15.477465986394558,7.795493197278912
06073016608,1.0,2539.0,806.0,820.0,1263.0,618.5656771,9.166666666666668,0.4627159192077954,0.4320165684003579,30.361852743025402,979.02,9.0,6.0,7.0,13.0
06073016609,3.0,5403.0,1692.0,1736.0,2774.0,1178.6613167,11.074271079590227,0.2295505788570901,0.44462481625281464,164.4878092608347,665.2749408983451,3.7092198581560285,6.970449172576832,13.411347517730496,14.47163120567376
06073016610,2.0,4185.0,1391.0,1488.0,2183.0,332.3228132,14.038581356338366,0.41388794916638466,0.6612364406672844,206.70929777172591,540.2812365204888,7.4421279654924515,14.09489575844716,16.02084831056794,15.326383896477354
06073016612,3.0,6037.0,1996.0,2015.0,3054.0,1559.1127853,9.592017368069472,0.39932337127326123,0.5705907379077826,68.12013914603149,-44265.38437875752,7.355711422845691,10.669338677354709,11.006012024048097,8.75751503006012
06073016613,2.0,1929.0,687.0,692.0,1029.0,189.473809,11.377244056283358,0.31241780151010445,0.23287949561272567,122.94954493184879,844.5808151382824,5.526928675400291,2.7365356622998545,15.895196506550219,14.104803493449781
06073016614,2.0,3936.0,1296.0,1378.0,2003.0,535.3935468,13.9375,0.720835903064022,0.5209681570980318,132.09559901983658,1023.5270138888887,16.770833333333332,8.95138888888889,15.95138888888889,13.0
06073016615,1.0,4477.0,952.0,986.0,1520.0,585.8484016,16.5,0.8831453132396567,0.7966987825095113,149.3585025768209,887.82,20.0,19.0,17.0,13.0
06073016616,2.0,4435.0,1374.0,1490.0,1991.0,604.5259493,10.409752547307132,0.6912481240555173,0.5309528641179906,64.38421698458451,-58578.0777510917,15.301310043668122,9.951965065502183,11.0,7.602620087336245
06073016617,2.0,3491.0,1387.0,1562.0,1559.0,436.2172437,14.92141312184571,0.7395027281048185,0.605125650129347,162.72372322831484,1040.4294304253785,17.319394376351838,12.041816870944485,16.76423936553713,13.319394376351838
06073016701,2.0,9848.0,3528.0,3669.0,4497.0,1540.64379,6.45124716553288,0.37286833016434884,0.5579190918755099,52.34263558606381,-99999.0,7.238095238095238,9.82312925170068,9.82312925170068,1.0
