GEOID,NAMELSAD,tract_area_sq_mile,transit_stop_count,transit_stops_per_sq_mile,has_transit_access,large_tract_flag
06073017053,Census Tract 170.53,2.0521556498471205,3,1.4618774166684145,1,0
06073010015,Census Tract 100.15,15.635527639946705,62,3.96532828489895,1,1
06073020810,Census Tract 208.10,15.06172628259589,1,0.06639345193489002,1,1
06073021900,Census Tract 219,3.668895789706762,35,9.53965498235026,1,0
06073020026,Census Tract 200.26,1.4768216789292516,4,2.708519286431482,1,0
06073020028,Census Tract 200.28,0.1764313060776964,2,11.335856682482671,1,0
06073013421,Census Tract 134.21,0.9561908740137331,6,6.274897787733776,1,0
06073020811,Census Tract 208.11,18.531312864225665,0,0.0,0,1
06073021206,Census Tract 212.06,16.543732682282144,4,0.24178340383146324,1,1
06073017051,Census Tract 170.51,0.959211102618286,5,5.212616895646723,1,0
06073017109,Census Tract 171.09,1.7047303764637063,16,9.38564844089328,1,0
06073019809,Census Tract 198.09,1.125177570835958,3,2.6662458244445193,1,0
06073020029,Census Tract 200.29,2.107583705473094,30,14.234310087943022,1,0
06073020309,Census Tract 203.09,1.0945811322929482,1,0.9135914830773504,1,0
06073021205,Census Tract 212.05,3.8350740134891623,23,5.9972766937748165,1,0
06073000400,Census Tract 4,0.4546201147293871,12,26.39566444864193,1,0
06073000500,Census Tract 5,0.428054740110715,3,7.008449431547142,1,0
06073000600,Census Tract 6,0.3601743123606285,10,27.76433425931661,1,0
06073003103,Census Tract 31.03,0.7875306362499606,17,21.58646180540999,1,0
06073003105,Census Tract 31.05,0.4673886796812745,21,44.930484868226785,1,0
06073002902,Census Tract 29.02,0.6063848309863613,11,18.14029546568161,1,0
06073002903,Census Tract 29.03,0.5434305347305118,8,14.721292766456736,1,0
06073019903,Census Tract 199.03,3.0796463688207076,7,2.272988246595507,1,0
06073017022,Census Tract 170.22,1.728467905857962,14,8.099658635576922,1,0
06073009901,Census Tract 99.01,2.8207775025011292,18,6.381219356734002,1,0
06073017045,Census Tract 170.45,0.7529367466357297,0,0.0,0,0
06073013503,Census Tract 135.03,1.0661046240410068,9,8.441948188805362,1,0
06073020017,Census Tract 200.17,1.8849999579162524,19,10.07957582184951,1,0
06073015403,Census Tract 154.03,1.1856293561419675,0,0.0,0,0
06073010103,Census Tract 101.03,2.6210123663707865,12,4.578383587184646,1,0
06073018504,Census Tract 185.04,2.4539442175975044,23,9.372666189827978,1,0
06073020801,Census Tract 208.01,52.27606154399873,4,0.07651685842158089,1,1
06073018608,Census Tract 186.08,1.5766531064878953,8,5.07403941112992,1,0
