GEOID,NAMELSAD,school_count,elementary_school_count,middle_school_count,high_school_count,other_school_count,charter_school_count,tract_area_sq_mile,schools_per_sq_mile,district_name,district_type,district_grade_low,district_grade_high,district_overlap_pct,ela_students_tested,ela_current_status,ela_status_level,ela_change,ela_change_level,math_students_tested,math_current_status,math_status_level,math_change,math_change_level,academic_strength_score,academic_strength_tier
06073018302,Census Tract 183.02,0,0,0,0,0,0,0.16002459459367424,0.0,Oceanside Unified,Unified,PK,12,0.999737440563547,7087,-25.4,2,4.4,4,7087,-56.3,2,5.1,4,2.0,lower
06073017068,Census Tract 170.68,0,0,0,0,0,0,1.25675817359303,0.0,Poway Unified,Unified,PK,12,0.6845514337566312,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073013325,Census Tract 133.25,0,0,0,0,0,0,0.39339903520061564,0.0,Chula Vista Elementary,Elementary,PK,12,1.0000000000000004,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013318,Census Tract 133.18,1,1,0,0,0,0,0.6292065580513072,1.5893032060839667,Chula Vista Elementary,Elementary,PK,12,0.9999999999999999,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073013317,Census Tract 133.17,7,4,0,3,0,0,6.664949018494505,1.0502705993062762,Chula Vista Elementary,Elementary,PK,12,0.9999999999999989,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
06073015407,Census Tract 154.07,2,1,0,0,1,1,0.31919430469384896,6.26577595711889,Cajon Valley Union,Elementary,PK,12,1.0000000000000007,9545,-51.1,2,2.4,3,9748,-82.4,2,-1.4,3,2.0,lower
06073008367,Census Tract 83.67,1,0,0,1,0,0,0.7185525920544548,1.3916865808539398,Poway Unified,Unified,PK,12,0.9999999999999999,17379,56.5,5,0.8,3,17419,39.8,5,2.6,3,5.0,high
06073010017,Census Tract 100.17,2,1,1,0,0,0,1.1147651430861185,1.7940998715327563,Sweetwater Union High,High,KG,12,1.0000000000000002,14236,-1.0,2,4.8,4,14254,-62.9,2,9.8,4,2.0,lower
06073007304,Census Tract 73.04,0,0,0,0,0,0,0.3060394342495442,0.0,San Diego Unified,Unified,PK,12,0.6281625377877197,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073005602,Census Tract 56.02,2,0,1,1,0,0,2.061781563303629,0.9700348647969113,San Diego Unified,Unified,PK,12,0.9999999999999982,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073001301,Census Tract 13.01,0,0,0,0,0,0,0.13597267966406695,0.0,San Diego Unified,Unified,PK,12,1.0000000000000002,44849,12.4,4,5.3,4,45112,-19.1,3,4.5,4,3.5,medium_high
06073021306,Census Tract 213.06,0,0,0,0,0,0,14.625636530413141,0.0,Grossmont Union High,High,KG,12,0.7444927297085756,3527,-1.8,2,5.6,4,3517,-86.7,2,3.1,4,2.0,lower
06073013319,Census Tract 133.19,4,2,1,1,0,4,2.9588271037023075,1.351887034898017,Chula Vista Elementary,Elementary,PK,12,1.0000000000000002,12181,10.6,4,1.8,3,12271,-14.3,3,2.1,3,3.5,medium_high
