geo_id,tract_name,total_population,population_under_5,population_under_5_rate,population_under_18,population_under_18_rate,population_65_plus,median_age,hispanic_latino_population,hispanic_latino_rate,total_households,households_with_children,households_with_seniors,avg_household_size,avg_family_size,school_enrolled_population,elementary_school_enrollment,high_school_enrollment,bachelors_or_higher,median_household_income,mean_household_income,poverty_rate,family_poverty_rate,employed_population,unemployed_population,unemployment_rate,drove_alone_count,drove_alone_rate,public_transit_commute_count,public_transit_commute_rate,work_from_home_count,work_from_home_rate,total_housing_units,occupied_housing_units,vacant_housing_units,vacancy_rate,owner_occupied_units,renter_occupied_units,renter_rate,vehicle_households,no_vehicle_households,no_vehicle_rate,one_vehicle_households,two_vehicle_households,three_plus_vehicle_households,median_gross_rent,rent_burden_30_34_count,rent_burden_35_plus_count,tract_type_flag
1400000US06073006000,Census Tract 60; San Diego County; California,4964,102,2.1,237,4.8,1329,47.0,1126,22.7,2677,202,879,1.76,2.35,538,47,54,2910,102404.0,158764.0,14.1,5.7,2800,106,2.2,1360,47.7,44,1.5,1126,39.5,2866,2677,189,6.6,1144,1533,57.3,2677,233,8.7,1307,939,198,2160.0,38,634,residential_or_mixed
1400000US06073006100,Census Tract 61; San Diego County; California,2115,21,1.0,267,12.6,243,37.4,399,18.9,1032,184,174,2.05,3.06,542,108,138,1090,109750.0,141058.0,8.5,3.4,1359,171,8.7,886,63.7,28,2.0,354,25.4,1226,1032,194,15.8,439,593,57.5,1032,53,5.1,414,449,116,2202.0,99,143,residential_or_mixed
1400000US06073006200,Census Tract 62; San Diego County; California,28,0,0.0,0,0.0,0,20.5,0,0.0,0,0,0,,,0,0,0,0,,,,,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,,0,0,,0,0,,0,0,0,,0,0,likely_non_residential
1400000US06073006300,Census Tract 63; San Diego County; California,2038,0,0.0,22,1.1,0,20.5,748,36.7,0,0,0,,,304,0,137,38,,,,,212,7,0.3,355,19.3,34,1.8,587,31.8,0,0,0,,0,0,,0,0,,0,0,0,,0,0,likely_institutional_or_group_quarters
1400000US06073006500,Census Tract 65; San Diego County; California,3645,9,0.2,318,8.7,782,49.1,644,17.7,1652,173,606,1.66,2.71,428,273,33,1142,72766.0,88121.0,27.6,3.4,1521,140,4.2,723,46.4,175,11.2,420,27.0,1735,1652,83,4.8,338,1314,79.5,1652,518,31.4,712,353,69,1358.0,69,675,residential_or_mixed
1400000US06073006600,Census Tract 66; San Diego County; California,2032,463,22.8,939,46.2,20,26.0,572,28.1,477,399,12,4.26,4.52,732,373,49,384,110651.0,116733.0,6.0,7.9,520,10,0.9,647,71.3,0,0.0,91,10.0,650,477,173,26.6,0,477,100.0,477,8,1.7,147,290,32,,106,235,residential_or_mixed
1400000US06073006801,Census Tract 68.01; San Diego County; California,3205,242,7.6,461,14.4,431,32.4,777,24.2,1571,314,379,2.04,2.72,617,64,59,1339,96523.0,108705.0,9.0,0.0,2045,79,2.8,1557,74.5,0,0.0,386,18.5,1635,1571,64,3.9,465,1106,70.4,1571,53,3.4,775,539,204,2468.0,204,326,residential_or_mixed
1400000US06073006802,Census Tract 68.02; San Diego County; California,5531,404,7.3,772,14.0,591,32.6,982,17.8,2597,492,389,2.05,2.74,840,250,92,2280,111858.0,125036.0,14.3,7.6,3498,110,2.3,2460,67.7,42,1.2,586,16.1,2837,2597,240,8.5,452,2145,82.6,2597,210,8.1,1024,1126,237,2526.0,181,731,residential_or_mixed
1400000US06073006900,Census Tract 69; San Diego County; California,6093,313,5.1,1421,23.3,851,41.2,644,10.6,2203,860,636,2.75,3.11,1579,898,95,2778,146779.0,208923.0,7.8,4.8,3508,166,3.5,2227,65.2,10,0.3,797,23.3,2217,2203,14,0.6,1535,668,30.3,2203,0,0.0,481,1217,505,3308.0,44,374,residential_or_mixed
1400000US06073007002,Census Tract 70.02; San Diego County; California,3025,190,6.3,584,19.3,834,51.2,217,7.2,1256,303,588,2.41,2.96,526,231,139,1541,184167.0,228668.0,4.6,1.3,1441,0,0.0,787,53.8,9,0.6,562,38.4,1298,1256,42,3.2,1108,148,11.8,1256,64,5.1,341,605,246,,23,30,residential_or_mixed
1400000US06073007100,Census Tract 71; San Diego County; California,4163,88,2.1,403,9.7,2162,66.2,293,7.0,2105,248,1400,1.98,2.5,684,172,129,2479,144087.0,203685.0,9.9,2.8,1848,166,4.3,1090,58.5,0,0.0,714,38.3,2306,2105,201,8.7,1545,560,26.6,2105,111,5.3,650,869,475,2020.0,0,392,residential_or_mixed
1400000US06073007200,Census Tract 72; San Diego County; California,5779,235,4.1,887,15.3,950,29.4,752,13.0,1589,405,714,2.47,2.87,2585,378,145,2150,176063.0,239918.0,4.2,2.2,2277,277,5.5,1007,44.4,11,0.5,714,31.5,1612,1589,23,1.4,1268,321,20.2,1589,82,5.2,389,645,473,3446.0,0,164,residential_or_mixed
